period,case_prefix,loss_basis,metric,parameter,value_2022_usd,tail_count,headline_supported,declared_years
TRAINING,c2,cash_net,var,0.995,0,5001,True,1000000
TRAINING,c2,cash_net,tvar,0.995,15038725.675923558,5001,True,1000000
TRAINING,c2,cash_net,tvar_minus_mean,0.995,14983326.315934926,5001,True,1000000
TRAINING,c2,unfunded,aep_pml,100,0,10000,True,1000000
TRAINING,c2,unfunded,aep_pml,250,0,4000,True,1000000
TRAINING,c2,unfunded,aep_pml,500,444242.31131681718,2000,True,1000000
TRAINING,c2,unfunded,aep_pml,1000,19288942.731432207,1000,True,1000000
TRAINING,c2,unfunded,aep_pml,2500,67579924.669009686,400,True,1000000
TRAINING,c2,unfunded,aep_pml,5000,105324275.93749851,200,True,1000000
TRAINING,c2,unfunded,aep_pml,10000,137746363.180024,100,True,1000000
TRAINING,c2,unfunded,aep_pml,50000,193183297.6917142,20,True,1000000
TRAINING,c2,unfunded,aep_pml,100000,220320866.74940661,10,False,1000000
TRAINING,c2,unfunded,aep_pml,1000000,253913912.74681047,1,False,1000000
TRAINING,c2,unfunded,var,0.98999999999999999,0,10001,True,1000000
TRAINING,c2,unfunded,tvar,0.98999999999999999,7520114.6990594659,10001,True,1000000
TRAINING,c2,unfunded,tvar_minus_mean,0.98999999999999999,7444906.0319541721,10001,True,1000000
TRAINING,c2,unfunded,var,0.995,0,5001,True,1000000
TRAINING,c2,unfunded,tvar,0.995,15038725.675923558,5001,True,1000000
TRAINING,c2,unfunded,tvar_minus_mean,0.995,14963517.008818265,5001,True,1000000
EVALUATION,i0,gross,aep_pml,100,0,10000,True,1000000
EVALUATION,i0,gross,aep_pml,250,6199.5039999999899,4000,True,1000000
EVALUATION,i0,gross,aep_pml,500,18924416.707944721,2000,True,1000000
EVALUATION,i0,gross,aep_pml,1000,48040112.81779445,1000,True,1000000
EVALUATION,i0,gross,aep_pml,2500,81050074.85862115,400,True,1000000
EVALUATION,i0,gross,aep_pml,5000,101559923.32944781,200,True,1000000
EVALUATION,i0,gross,aep_pml,10000,118982667.49620402,100,True,1000000
EVALUATION,i0,gross,aep_pml,50000,150734244.29391614,20,True,1000000
EVALUATION,i0,gross,aep_pml,100000,165208659.70689747,10,False,1000000
EVALUATION,i0,gross,aep_pml,1000000,205131492.83591884,1,False,1000000
EVALUATION,i0,gross,var,0.98999999999999999,0,10001,True,1000000
EVALUATION,i0,gross,tvar,0.98999999999999999,12257645.807940349,10001,True,1000000
EVALUATION,i0,gross,tvar_minus_mean,0.98999999999999999,12135057.092215138,10001,True,1000000
EVALUATION,i0,gross,var,0.995,0,5001,True,1000000
EVALUATION,i0,gross,tvar,0.995,24512840.576926898,5001,True,1000000
EVALUATION,i0,gross,tvar_minus_mean,0.995,24390251.861201685,5001,True,1000000
EVALUATION,i0,benchmark_retained,aep_pml,100,0,10000,True,1000000
EVALUATION,i0,benchmark_retained,aep_pml,250,6199.5039999999899,4000,True,1000000
EVALUATION,i0,benchmark_retained,aep_pml,500,18811083.540145434,2000,True,1000000
EVALUATION,i0,benchmark_retained,aep_pml,1000,18811083.540145438,1000,True,1000000
EVALUATION,i0,benchmark_retained,aep_pml,2500,19470835.814387739,400,True,1000000
EVALUATION,i0,benchmark_retained,aep_pml,5000,39552093.477779612,200,True,1000000
EVALUATION,i0,benchmark_retained,aep_pml,10000,57143985.518124998,100,True,1000000
EVALUATION,i0,benchmark_retained,aep_pml,50000,88896260.97899799,20,True,1000000
EVALUATION,i0,benchmark_retained,aep_pml,100000,103370676.39197932,10,False,1000000
EVALUATION,i0,benchmark_retained,aep_pml,1000000,143293509.52100068,1,False,1000000
EVALUATION,i0,benchmark_retained,var,0.98999999999999999,0,10001,True,1000000
EVALUATION,i0,benchmark_retained,tvar,0.98999999999999999,5870100.5709069874,10001,True,1000000
EVALUATION,i0,benchmark_retained,tvar_minus_mean,0.98999999999999999,5811393.6950973468,10001,True,1000000
EVALUATION,i0,benchmark_retained,var,0.995,0,5001,True,1000000
EVALUATION,i0,benchmark_retained,tvar,0.995,11739027.356456865,5001,True,1000000
EVALUATION,i0,benchmark_retained,tvar_minus_mean,0.995,11680320.480647223,5001,True,1000000
EVALUATION,i0,cash_net,aep_pml,100,0,10000,True,1000000
EVALUATION,i0,cash_net,aep_pml,250,0,4000,True,1000000
EVALUATION,i0,cash_net,aep_pml,500,3761600.7942655161,2000,True,1000000
EVALUATION,i0,cash_net,aep_pml,1000,22901462.530567288,1000,True,1000000
EVALUATION,i0,cash_net,aep_pml,2500,51367320.025272384,400,True,1000000
EVALUATION,i0,cash_net,aep_pml,5000,71073935.102898747,200,True,1000000
EVALUATION,i0,cash_net,aep_pml,10000,88590861.177157268,100,True,1000000
EVALUATION,i0,cash_net,aep_pml,50000,123656063.31561601,20,True,1000000
EVALUATION,i0,cash_net,aep_pml,100000,132690180.35398455,10,False,1000000
EVALUATION,i0,cash_net,aep_pml,1000000,174212501.17845976,1,False,1000000
EVALUATION,i0,cash_net,var,0.98999999999999999,0,10001,True,1000000
EVALUATION,i0,cash_net,tvar,0.98999999999999999,6506069.1975328373,10001,True,1000000
EVALUATION,i0,cash_net,tvar_minus_mean,0.98999999999999999,6450481.9367293399,10001,True,1000000
EVALUATION,i0,cash_net,var,0.995,0,5001,True,1000000
EVALUATION,i0,cash_net,tvar,0.995,13010837.441416899,5001,True,1000000
EVALUATION,i0,cash_net,tvar_minus_mean,0.995,12955250.1806134,5001,True,1000000
EVALUATION,i0,unfunded,aep_pml,100,0,10000,True,1000000
EVALUATION,i0,unfunded,aep_pml,250,0,4000,True,1000000
EVALUATION,i0,unfunded,aep_pml,500,3761600.7942655161,2000,True,1000000
EVALUATION,i0,unfunded,aep_pml,1000,22901462.530567288,1000,True,1000000
EVALUATION,i0,unfunded,aep_pml,2500,51367320.025272384,400,True,1000000
EVALUATION,i0,unfunded,aep_pml,5000,71073935.102898747,200,True,1000000
EVALUATION,i0,unfunded,aep_pml,10000,88590861.177157268,100,True,1000000
EVALUATION,i0,unfunded,aep_pml,50000,123656063.31561601,20,True,1000000
EVALUATION,i0,unfunded,aep_pml,100000,132690180.35398455,10,False,1000000
EVALUATION,i0,unfunded,aep_pml,1000000,174212501.17845976,1,False,1000000
