source_type,candidate_id,attachment_index,distance_decay,tier_step,normalized_training_mse,training_occurrences,selected
SLAB,103,6.5,1,0.75,0.014039830272918682,1988,False
SLAB,104,6.5,1,1,0.014039830272918682,1988,False
SLAB,105,6.5,1.5,0.25,0.011097342868553265,1988,False
SLAB,106,6.5,1.5,0.5,0.011244815899963529,1988,False
SLAB,107,6.5,1.5,0.75,0.011244815899963529,1988,False
SLAB,108,6.5,1.5,1,0.011244815899963529,1988,False
SLAB,109,6.5,2,0.25,0.012238036666422132,1988,False
SLAB,110,6.5,2,0.5,0.012310122432381634,1988,False
SLAB,111,6.5,2,0.75,0.012310122432381634,1988,False
SLAB,112,6.5,2,1,0.012310122432381634,1988,False
SLAB,113,6.75,0.5,0.25,0.018662520135827722,1988,False
SLAB,114,6.75,0.5,0.5,0.016397032274705861,1988,False
SLAB,115,6.75,0.5,0.75,0.016469118040665365,1988,False
SLAB,116,6.75,0.5,1,0.016469118040665365,1988,False
SLAB,117,6.75,1,0.25,0.012131883008194524,1988,False
SLAB,118,6.75,1,0.5,0.012109652878781792,1988,False
SLAB,119,6.75,1,0.75,0.012109652878781792,1988,False
SLAB,120,6.75,1,1,0.012109652878781792,1988,False
SLAB,121,6.75,1.5,0.25,0.012689408553224995,1988,False
SLAB,122,6.75,1.5,0.5,0.012689408553224995,1988,False
SLAB,123,6.75,1.5,0.75,0.012689408553224995,1988,False
SLAB,124,6.75,1.5,1,0.012689408553224995,1988,False
SLAB,125,6.75,2,0.25,0.012953427609420223,1988,False
SLAB,126,6.75,2,0.5,0.012953427609420223,1988,False
SLAB,127,6.75,2,0.75,0.012953427609420223,1988,False
SLAB,128,6.75,2,1,0.012953427609420223,1988,False
SLAB,129,7,0.5,0.25,0.013143965772352944,1988,False
SLAB,130,7,0.5,0.5,0.013216051538312444,1988,False
SLAB,131,7,0.5,0.75,0.013216051538312444,1988,False
SLAB,132,7,0.5,1,0.013216051538312444,1988,False
SLAB,133,7,1,0.25,0.012984866241210966,1988,False
SLAB,134,7,1,0.5,0.012984866241210966,1988,False
SLAB,135,7,1,0.75,0.012984866241210966,1988,False
SLAB,136,7,1,1,0.012984866241210966,1988,False
SLAB,137,7,1.5,0.25,0.013088390638961214,1988,False
SLAB,138,7,1.5,0.5,0.013088390638961214,1988,False
