case_name,structure,design_id,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_15,ceded_aal_2022_usd,70389.008868163539,67460.12509000767,2928.8837781558686,4.3416518635980133,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_ANNUAL_AGGREGATE,AGG_01,ceded_aal_2022_usd,74904.736602666992,89915.41572053128,-15010.679117864289,-16.694222005845379,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_01,ceded_aal_2022_usd,109939.24981278573,119082.31701159912,-9143.0671988133981,-7.6779386127688669,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_ANNUAL_AGGREGATE,AGG_02,ceded_aal_2022_usd,98062.262520476288,111474.26947815149,-13412.006957675199,-12.031482260849351,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_02,ceded_aal_2022_usd,117362.43354066006,122034.9215014497,-4672.4879607896437,-3.8288121984280847,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_ANNUAL_AGGREGATE,AGG_03,ceded_aal_2022_usd,107435.15973038205,117750.95861012411,-10315.798879742069,-8.7606920584807249,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_03,ceded_aal_2022_usd,120145.71986044214,122637.74183185564,-2492.0219714135019,-2.0320188012188178,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_ANNUAL_AGGREGATE,AGG_04,ceded_aal_2022_usd,113335.95929806336,120668.97905157076,-7333.0197535073967,-6.0769717380085364,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_04,ceded_aal_2022_usd,121681.27414857526,122865.84477434076,-1184.5706257654965,-0.96411710507595971,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_ANNUAL_AGGREGATE,AGG_05,ceded_aal_2022_usd,74868.470558040004,89875.012752799434,-15006.54219475943,-16.697123855809416,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_05,ceded_aal_2022_usd,109902.98376815872,119041.91404386731,-9138.9302757085825,-7.6770693323536943,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_ANNUAL_AGGREGATE,AGG_06,ceded_aal_2022_usd,98025.996475849301,111433.86651041966,-13407.870034570355,-12.032132110678083,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_06,ceded_aal_2022_usd,117326.16749603309,121994.5185337179,-4668.3510376848135,-3.8266891773457301,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_ANNUAL_AGGREGATE,AGG_07,ceded_aal_2022_usd,107398.89368575507,117710.55564239228,-10311.66195663721,-8.7601845903814333,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_07,ceded_aal_2022_usd,120109.45381581516,122597.33886412383,-2487.8850483086717,-2.0293140710550217,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_ANNUAL_AGGREGATE,AGG_08,ceded_aal_2022_usd,113299.69325343637,120628.57608383893,-7328.8828304025519,-6.0755776685193172,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
