case_name,design_id,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
C1_ALDEA22_SUBDUCTION,OCC_04,retained_aep_2500yr_pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_05,retained_aep_2500yr_pml_2022_usd,47161350.694595076,32846477.252110519,14314873.442484558,43.581152805556243,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_06,retained_aep_2500yr_pml_2022_usd,14290643.818376824,19907.804840102792,14270736.013536721,71684.126543120336,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_07,retained_aep_2500yr_pml_2022_usd,9953.902420044411,9953.902420044411,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_08,retained_aep_2500yr_pml_2022_usd,9953.902420044411,9953.9024200442946,1.1641532182693481e-10,1.1695445355432444e-12,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_09,retained_aep_2500yr_pml_2022_usd,65962480.332320467,51743393.167710587,14219087.164609879,27.480005260812725,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_10,retained_aep_2500yr_pml_2022_usd,33274085.978361301,19364973.8072026,13909112.171158701,71.826134698851746,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_11,retained_aep_2500yr_pml_2022_usd,18811083.540145442,18811083.540145434,7.4505805969238281e-09,3.9607397314584599e-14,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_12,retained_aep_2500yr_pml_2022_usd,18811083.540145434,18811083.540145434,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_13,retained_aep_2500yr_pml_2022_usd,62127416.947857656,48100316.692113258,14027100.255744398,29.162178589240646,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_14,retained_aep_2500yr_pml_2022_usd,47812543.505373098,47812543.505373098,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_15,retained_aep_2500yr_pml_2022_usd,47812543.505373098,47812543.505373098,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_01,retained_aep_2500yr_pml_2022_usd,48009946.588434555,32836523.349690475,15173423.23874408,46.208982227368196,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_02,retained_aep_2500yr_pml_2022_usd,15161150.087895229,1.4901161193847656e-08,15161150.087895215,1.017447559332148e+17,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_03,retained_aep_2500yr_pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_04,retained_aep_2500yr_pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_05,retained_aep_2500yr_pml_2022_usd,48019900.490854599,32846477.252110519,15173423.23874408,46.194978908336743,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_06,retained_aep_2500yr_pml_2022_usd,15171103.990315273,19907.804840102792,15151196.185475171,76106.814925944083,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_07,retained_aep_2500yr_pml_2022_usd,9953.902420044411,9953.902420044411,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_08,retained_aep_2500yr_pml_2022_usd,9953.902420044411,9953.9024200442946,1.1641532182693481e-10,1.1695445355432444e-12,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_09,retained_aep_2500yr_pml_2022_usd,66821030.128579989,51743393.167710587,15077636.960869402,29.139250516485834,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
