case_name,loss_basis,risk_metric,parameter,tail_count,headline_supported,metric,value,baseline_value,absolute_change,percent_change,percentage_status,period,unit,source_path
C1_ALDEA22_SUBDUCTION,benchmark_retained,aep_pml,2500,400,True,value_2022_usd,32886694.831614256,19470835.814387739,13415859.017226517,68.902327281261492,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,aep_pml,5000,200,True,value_2022_usd,68885695.744341299,39552093.477779612,29333602.266561687,74.164474462119998,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,aep_pml,10000,100,True,value_2022_usd,100853284.05931102,57143985.518124998,43709298.54118602,76.489762036850323,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,aep_pml,50000,20,True,value_2022_usd,150216888.12065345,88896260.97899799,61320627.14165546,68.979984609411915,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,aep_pml,100000,10,False,value_2022_usd,174332373.34537524,103370676.39197932,70961696.953395918,68.647801707624254,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,aep_pml,1000000,1,False,value_2022_usd,203397545.69524127,143293509.52100068,60104036.174240589,41.944702432898339,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,var,0.98999999999999999,10001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,tvar,0.98999999999999999,10001,True,value_2022_usd,6408463.1963031422,5870100.5709069874,538362.62539615482,9.1712674918101538,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,tvar_minus_mean,0.98999999999999999,10001,True,value_2022_usd,6344372.155876914,5811393.6950973468,532978.46077956725,9.1712674918101431,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,var,0.995,5001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
