case_name,case_prefix,program,premium_multiple_of_gross_aal,expense_ratio,ceded_price_multiplier,earned_premium_2022_usd,expenses_2022_usd,retained_aal_2022_usd,expected_reinsurance_premium_2022_usd,underwriting_result_2022_usd,var99_5_economic_capital_floored_2022_usd,tvar99_5_tail_capital_2022_usd,raroc_using_var99_5_capital,raroc_using_tvar99_5_tail_capital,var_capital_informative,pricing_status
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,2.0,0.4,1.0,245959.11993465692,98383.64797386277,59317.00606097586,63662.55390635259,24595.9119934657,0.0,11802897.984635122,,0.002083887535542913,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,2.5,0.4,1.0,307448.89991832117,122979.55996732847,59317.00606097586,63662.55390635259,61489.779983664244,0.0,11802897.984635122,,0.005209718838857283,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,3.0,0.4,1.0,368938.6799019854,147575.47196079415,59317.00606097586,63662.55390635259,98383.6479738628,0.0,11802897.984635122,,0.008335550142171652,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,1.25,0.2,1.25,153724.44995916059,30744.88999183212,59317.00606097586,79578.19238294073,-15915.638476588116,0.0,11802897.984635122,,-0.0013484517528921213,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,1.5,0.2,1.25,184469.3399509927,36893.86799019854,59317.00606097586,79578.19238294073,8680.273516877554,0.0,11802897.984635122,,0.0007354357826507892,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,2.0,0.2,1.25,245959.11993465692,49191.823986931384,59317.00606097586,79578.19238294073,57872.09750380894,0.0,11802897.984635122,,0.004903210853736614,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,2.5,0.2,1.25,307448.89991832117,61489.77998366424,59317.00606097586,79578.19238294073,107063.92149074035,0.0,11802897.984635122,,0.009070985924822441,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,3.0,0.2,1.25,368938.6799019854,73787.73598039708,59317.00606097586,79578.19238294073,156255.7454776717,0.0,11802897.984635122,,0.013238760995908264,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,1.25,0.3,1.25,153724.44995916059,46117.334987748174,59317.00606097586,79578.19238294073,-31288.083472504186,0.0,11802897.984635122,,-0.0026508814626064426,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,1.5,0.3,1.25,184469.3399509927,55340.80198529781,59317.00606097586,79578.19238294073,-9766.660478221718,0.0,11802897.984635122,,-0.0008274798690063954,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,2.0,0.3,1.25,245959.11993465692,73787.73598039708,59317.00606097586,79578.19238294073,33276.18551034326,0.0,11802897.984635122,,0.002819323318193703,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,2.5,0.3,1.25,307448.89991832117,92234.66997549635,59317.00606097586,79578.19238294073,76319.03149890821,0.0,11802897.984635122,,0.006466126505393799,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,3.0,0.3,1.25,368938.6799019854,110681.60397059562,59317.00606097586,79578.19238294073,119361.87748747316,0.0,11802897.984635122,,0.010112929692593895,False,assumption grid; not a central estimate
