case_name,case_prefix,program,ceded_price_multiplier,expense_ratio,expected_reinsurance_premium_2022_usd,break_even_required_earned_premium_2022_usd,break_even_premium_multiple_of_gross_aal,pricing_status
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.0,0.4,77874.13526373795,205559.4623614975,1.6666666666666667,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.25,0.2,97342.66907967243,178505.26404104123,1.4473124709702516,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.25,0.3,97342.66907967243,204006.01604690426,1.6540713953945734,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.25,0.4,97342.66907967243,238007.0187213883,1.9297499612936688,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.2,116811.20289560693,202840.93131095933,1.6446249419405032,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.3,116811.20289560693,231818.20721252498,1.8795713622177184,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.4,116811.20289560693,270454.57508127915,2.192833255920671,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,2.0,0.2,155748.2705274759,251512.26585079555,2.0392498838810065,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,2.0,0.3,155748.2705274759,287442.58954376634,2.3305712958640075,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,2.0,0.4,155748.2705274759,335349.68780106073,2.7189998451746753,assumption grid; not a quoted price
