site_ordinal,site_id,site_longitude,site_latitude
113,W2_0114,-123.92304710000001,45.991040253999998
114,W2_0115,-123.9068158,46.000073509000003
115,W2_0116,-123.9197588,45.988902121999999
116,W2_0117,-123.92058950000001,45.992242500000003
117,W2_0118,-123.9201573,45.991201126
118,W2_0119,-123.9152375,46.004292999999997
119,W2_0120,-123.916448,46.001312896000002
120,W2_0121,-123.92033619999999,45.989969219999999
121,W2_0122,-123.9258928,45.992963336999999
122,W2_0123,-123.92614380000001,45.983238129999997
123,W2_0124,-123.9218322,45.993291239999998
124,W2_0125,-123.9170914,45.992077080000001
125,W2_0126,-123.9244937,45.986957625999999
126,W2_0127,-123.9152526,46.002782265
127,W2_0128,-123.91556,46.002458775999997
128,W2_0129,-123.9191,45.997097963999998
129,W2_0130,-123.90619820000001,45.997717584999997
130,W2_0131,-123.90619820000001,45.997717584999997
131,W2_0132,-123.90619820000001,45.997717584999997
132,W2_0133,-123.910912,45.996413480000001
133,W2_0134,-123.91852350000001,45.995740499999997
134,W2_0135,-123.9185782,45.996019080000003
135,W2_0136,-123.9182447,45.997380591000002
136,W2_0137,-123.91658320000001,46.004275346999997
137,W2_0138,-123.922584,45.997676499999997
138,W2_0139,-123.92189140000001,45.991486684999998
139,W2_0140,-123.92674940000001,45.980445478
140,W2_0141,-123.928636,45.994168500000001
141,W2_0142,-123.9210348,45.987895279
142,W2_0143,-123.9279147,45.994762573999999
143,W2_0144,-123.9216481,45.993615224999999
144,W2_0145,-123.9229692,45.982291519
145,W2_0146,-123.9201573,45.991201126
146,W2_0147,-123.92118739999999,45.990166489000003
147,W2_0148,-123.9263272,45.994993856999997
148,W2_0149,-123.9279447,45.993370542000001
149,W2_0150,-123.927089,45.993369242999997
150,W2_0151,-123.92990349999999,45.993069368999997
151,W2_0152,-123.9294676,45.993065164999997
152,W2_0153,-123.9293306,45.993065024000003
153,W2_0154,-123.92880719999999,45.992827697000003
154,W2_0155,-123.9298253,45.992440533
155,W2_0156,-123.9273827,45.992814977000002
156,W2_0157,-123.92795529999999,45.992537046000002
157,W2_0158,-123.9279232,45.992413317999997
158,W2_0159,-123.9174338,45.992251480999997
159,W2_0160,-123.9255974,45.992605560999998
160,W2_0161,-123.92716919999999,45.992938176000003
161,W2_0162,-123.9273237,45.992814922000001
162,W2_0163,-123.9231458,46.001435753999999
163,W2_0164,-123.9272436,46.000660578000002
164,W2_0165,-123.9240047,45.999394045999999
165,W2_0166,-123.9087665,45.995602523999999
166,W2_0167,-123.91930069999999,45.994908793
167,W2_0168,-123.9178191,45.996815253999998
168,W2_0169,-123.92189140000001,45.991486684999998
169,W2_0170,-123.9224012,45.989015746
170,W2_0171,-123.906724,45.997687175000003
171,W2_0172,-123.9183003,46.003531115000001
172,W2_0173,-123.9213846,45.993293506000001
173,W2_0174,-123.90749630000001,45.987784052000002
