rupture_ordinal,event_id,rupture_id,tree_id,branch_index,rupture_set_id,source_index,source_id,source_name,source_type,rupture_index,magnitude,raw_annual_rate,top_depth_km,width_km,centroid_longitude,centroid_latitude,centroid_depth_km
109,EVT_00000172,8b155b4b32dd604ba1b42ac9,3199,8,3110,0,3110,"Cascadia (segmented, 1, bottom)",INTERFACE,2,8.75,0.0001447884,5.349014,140.0,-124.3429400901236,42.029223291584,17.32548624359387
110,EVT_00000173,fa25b85e09e1ca70fb4a7c33,8231,0,8211,684,8211,"PointSourceFinite: -122.800, 45.500",SLAB,6,7.15,3.244171358371978e-07,50.0,8.0,-122.8,45.5,50.0
111,EVT_00000174,11dd9ed2e16f60335628928e,8231,0,8211,597,8211,"PointSourceFinite: -122.800, 45.000",SLAB,4,6.95,4.886319036307148e-07,50.0,8.0,-122.8,45.0,50.0
112,EVT_00000176,3b7da4235f090b91e91ffc2e,8231,0,8211,500,8211,"PointSourceFinite: -123.300, 44.500",SLAB,2,6.75,5.835077199653908e-07,42.0,8.0,-123.3,44.5,42.0
113,EVT_00000177,a89e624e102e044bb337c585,3199,15,3170,0,3170,"Cascadia (unsegmented, 1-2-3-4, bottom)",INTERFACE,800,8.4,3.9556960840500123e-07,5.0,155.0,,,
114,EVT_00000182,5ec66df2bf2261b90dca8229,3199,7,3151,0,3151,"Cascadia (segmented, 1-2, middle)",INTERFACE,2,8.62,0.0001303029,5.21813375,75.0,-124.79118362248585,42.671325164629074,10.51245985001918
115,EVT_00000186,629005e8218dbae6713a192b,8231,0,8211,564,8211,"PointSourceFinite: -122.500, 44.800",SLAB,1,6.65,4.3234656008944593e-07,50.0,8.0,-122.5,44.8,50.0
116,EVT_00000187,daab87cf2a088881e1ce1018,8231,1,8212,633,8212,"PointSourceFinite: -122.800, 45.200",SLAB,1,7.35,2.814455067325008e-08,50.0,8.0,-122.8,45.2,50.0
117,EVT_00000188,b7531d06c4d8d959b495bfec,8231,0,8211,652,8211,"PointSourceFinite: -122.600, 45.300",SLAB,2,6.75,4.250400816447325e-07,50.0,8.0,-122.6,45.3,50.0
118,EVT_00000189,f7a5a47c6399bb10c5dcdd14,8231,0,8211,593,8211,"PointSourceFinite: -123.200, 45.000",SLAB,1,6.65,8.904515589916484e-07,50.0,8.0,-123.2,45.0,50.0
119,EVT_00000190,312837473e9788fee6e598b1,8231,0,8211,794,8211,"PointSourceFinite: -123.300, 46.200",SLAB,3,6.85,1.793773051291708e-07,42.0,8.0,-123.3,46.2,42.0
120,EVT_00000191,66c4b541aea2ad2c0f17bcd8,8231,0,8211,406,8211,"PointSourceFinite: -123.100, 44.000",SLAB,3,6.85,1.8944326635900898e-07,50.0,8.0,-123.1,44.0,50.0
121,EVT_00000192,895b4247687283da9207aba6,8231,0,8211,22,8211,"PointSourceFinite: -124.200, 42.200",SLAB,2,6.75,7.752376410244882e-07,42.0,8.0,-124.2,42.2,42.0
122,EVT_00000195,ee9a6be139ccd599ea9e3105,8231,0,8211,649,8211,"PointSourceFinite: -122.900, 45.300",SLAB,2,6.75,6.062835977148805e-07,50.0,8.0,-122.9,45.3,50.0
123,EVT_00000198,bc6d410494c77977de0581fa,8231,0,8211,576,8211,"PointSourceFinite: -123.100, 44.900",SLAB,6,7.15,5.188718432186474e-07,50.0,8.0,-123.1,44.9,50.0
124,EVT_00000199,4052a16d086841cc4d7cf4a7,8231,0,8211,213,8211,"PointSourceFinite: -124.000, 43.100",SLAB,2,6.75,2.84439932889236e-07,42.0,8.0,-124.0,43.1,42.0
125,EVT_00000200,f502e4d1bd033d9329e22c70,3199,1,3160,0,3160,"Cascadia (unsegmented, 1-2-3, bottom)",INTERFACE,1086,8.5,6.232945289588634e-07,5.0,145.0,,,
126,EVT_00000201,18465c10dd656194f7011342,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,1055,8.5,6.232945289588634e-07,5.008578965240343,80.0,,,
127,EVT_00000202,928343c13ebe3d1b9b23b8d3,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,640,8.0,1.1864454622055416e-06,5.0,80.0,,,
128,EVT_00000205,0daf86fa71f0fffdcd9b9913,3199,0,3172,0,3172,"Cascadia (unsegmented, 1-2-3-4, top)",INTERFACE,50,8.0,3.41530044415247e-07,5.0,85.0,,,
